id,categoryName,productName,price,quantity,latitude,longitude,address,province,price_num,quantity_num,semantic_text
8fa37222-0336-42b2-aa49-48f0c14c6ff2,Cây ăn quả,sầu riêng Ri6,14.952 đ/kg,4.779 kg,20.8394,106.6685,"Số 88 Hoàng Diệu, Phường 9, Quận Lê Chân, Hải Phòng, Việt Nam","Hải Phòng, Việt Nam",14952.0,4779.0,Cây ăn quả | sầu riêng Ri6
afae5bff-33f7-4166-90dc-0f98cfbc56a8,Cây ăn quả,vải thiều,44.937 đ/kg,2.223 kg,21.0392,105.8348,"Số 240 Quang Trung, Phường 14, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Hà Nội, Việt Nam",44937.0,2223.0,Cây ăn quả | vải thiều
8fd2a104-ccba-4031-a5e2-2ef92212548e,Rau củ,cà rốt,24.842 đ/kg,3.747 kg,10.0418,105.764,"Số 148 Quang Trung, Phường 11, Quận Ninh Kiều, Cần Thơ, Việt Nam","Cần Thơ, Việt Nam",24842.0,3747.0,Rau củ | cà rốt
3f9f946d-3a6c-4072-b2be-9784c8c74c38,Cây ăn quả,xoài cát Hòa Lộc,27.727 đ/kg,898 kg,16.4527,107.596,"Số 106 Hùng Vương, Phường 14, TP. Huế, Thừa Thiên Huế, Việt Nam","Thừa Thiên Huế, Việt Nam",27727.0,898.0,Cây ăn quả | xoài cát Hòa Lộc
a105a494-2453-4892-957e-01b542b0b4e9,Rau củ,dưa leo,14.547 đ/kg,1.528 kg,20.8464,106.6898,"Số 151 Nguyễn Thị Minh Khai, Phường 16, Quận Lê Chân, Hải Phòng, Việt Nam","Hải Phòng, Việt Nam",14547.0,1528.0,Rau củ | dưa leo
2c00967f-5b48-47ba-865f-318567f90e17,Rau củ,cà rốt,46.011 đ/kg,4.694 kg,12.2258,109.1947,"Số 152 Lê Duẩn, Phường 2, TP. Nha Trang, Khánh Hòa, Việt Nam","Khánh Hòa, Việt Nam",46011.0,4694.0,Rau củ | cà rốt
593f42b3-dc20-4dcd-b0de-de0c58fd10bd,Cây ăn quả,thanh long ruột đỏ,53.923 đ/kg,2.980 kg,20.8353,106.67,"Số 20 Hùng Vương, Phường 8, Quận Lê Chân, Hải Phòng, Việt Nam","Hải Phòng, Việt Nam",53923.0,2980.0,Cây ăn quả | thanh long ruột đỏ
88d633e2-af37-49d8-802c-ba37c2130f4b,Rau củ,bí đỏ,38.321 đ/kg,3.644 kg,20.8588,106.685,"Số 157 Phan Châu Trinh, Phường 20, Quận Lê Chân, Hải Phòng, Việt Nam","Hải Phòng, Việt Nam",38321.0,3644.0,Rau củ | bí đỏ
bcf9cbc0-da77-4071-ac8c-e0b2d8000496,Rau củ,đậu cô ve,42.117 đ/kg,3.562 kg,10.8589,106.7942,"Số 186 Hùng Vương, Phường 5, TP. Thủ Đức, TP. Hồ Chí Minh, Việt Nam","TP. Hồ Chí Minh, Việt Nam",42117.0,3562.0,Rau củ | đậu cô ve
e075daf7-4564-42ba-b8eb-7435cf282b87,Rau củ,bí đỏ,27.520 đ/kg,590 kg,16.4502,107.5802,"Số 138 Quang Trung, Phường 8, TP. Huế, Thừa Thiên Huế, Việt Nam","Thừa Thiên Huế, Việt Nam",27520.0,590.0,Rau củ | bí đỏ
0516b996-cf97-49b2-a29b-12ac36803d97,Cây công nghiệp,cao su thiên nhiên,53.235 đ/kg,4.189 kg,16.4671,107.5807,"Số 65 Nguyễn Huệ, Phường 15, TP. Huế, Thừa Thiên Huế, Việt Nam","Thừa Thiên Huế, Việt Nam",53235.0,4189.0,Cây công nghiệp | cao su thiên nhiên
ac545686-ca1e-434a-9daa-f55c710e590a,Cây ăn quả,xoài cát Hòa Lộc,52.220 đ/kg,3.654 kg,10.8701,106.7911,"Số 189 Điện Biên Phủ, Phường 13, TP. Thủ Đức, TP. Hồ Chí Minh, Việt Nam","TP. Hồ Chí Minh, Việt Nam",52220.0,3654.0,Cây ăn quả | xoài cát Hòa Lộc
645f0e14-0bb1-411d-8f9e-64debe61db1c,Cây ăn quả,chuối già hương,11.498 đ/kg,2.716 kg,14.0026,107.983,"Số 85 Trần Hưng Đạo, Phường 8, TP. Pleiku, Gia Lai, Việt Nam","Gia Lai, Việt Nam",11498.0,2716.0,Cây ăn quả | chuối già hương
d62f4b1f-d5ef-4cc8-a7a8-ed060a5f24ea,Cây ăn quả,thanh long ruột đỏ,38.863 đ/kg,1.542 kg,10.7929,106.7064,"Số 169 Hùng Vương, Phường 17, Quận 1, TP. Hồ Chí Minh, Việt Nam","TP. Hồ Chí Minh, Việt Nam",38863.0,1542.0,Cây ăn quả | thanh long ruột đỏ
68181f96-90f0-4f4c-8cc1-8ce7ea819a6a,Rau củ,bí đỏ,20.085 đ/kg,2.396 kg,21.0283,105.7843,"Số 233 Nguyễn Huệ, Phường 17, Quận Cầu Giấy, Hà Nội, Việt Nam","Hà Nội, Việt Nam",20085.0,2396.0,Rau củ | bí đỏ
49624b14-8cb5-4962-b463-5dd7aae8a614,Cây ăn quả,chuối già hương,43.998 đ/kg,2.292 kg,10.8846,106.8056,"Số 144 Hai Bà Trưng, Phường 3, TP. Thủ Đức, TP. Hồ Chí Minh, Việt Nam","TP. Hồ Chí Minh, Việt Nam",43998.0,2292.0,Cây ăn quả | chuối già hương
5e7d9f92-0f38-400c-9c1b-24f6dfbd08ca,Cây công nghiệp,hạt điều nhân,57.675 đ/kg,2.764 kg,20.8542,106.6968,"Số 153 Hùng Vương, Phường 4, Quận Lê Chân, Hải Phòng, Việt Nam","Hải Phòng, Việt Nam",57675.0,2764.0,Cây công nghiệp | hạt điều nhân
65424347-b5a3-4441-959e-c57b01c458d8,Cây ăn quả,cam sành,32.873 đ/kg,630 kg,13.9771,107.9971,"Số 85 Hùng Vương, Phường 3, TP. Pleiku, Gia Lai, Việt Nam","Gia Lai, Việt Nam",32873.0,630.0,Cây ăn quả | cam sành
f50ed891-f807-4f1d-90aa-5b7a1e44094a,Cây công nghiệp,cao su thiên nhiên,17.579 đ/kg,2.985 kg,12.2253,109.1992,"Số 178 Phan Châu Trinh, Phường 11, TP. Nha Trang, Khánh Hòa, Việt Nam","Khánh Hòa, Việt Nam",17579.0,2985.0,Cây công nghiệp | cao su thiên nhiên
4b6ad1c9-9565-40fa-b224-02e9f875ade5,Cây ăn quả,dưa hấu,26.146 đ/kg,2.631 kg,16.4631,107.6025,"Số 63 Lê Lợi, Phường 9, TP. Huế, Thừa Thiên Huế, Việt Nam","Thừa Thiên Huế, Việt Nam",26146.0,2631.0,Cây ăn quả | dưa hấu
3537f6a3-3de4-4d8f-a88d-3afe8ec6b6ce,Cây ăn quả,bưởi da xanh,15.808 đ/kg,4.408 kg,10.0568,105.7564,"Số 146 Trần Hưng Đạo, Phường 1, Quận Ninh Kiều, Cần Thơ, Việt Nam","Cần Thơ, Việt Nam",15808.0,4408.0,Cây ăn quả | bưởi da xanh
cd05a755-0e1e-49ec-9094-221ae5a31ad5,Cây ăn quả,bưởi da xanh,34.930 đ/kg,4.466 kg,11.9272,108.4677,"Số 119 Hoàng Diệu, Phường 3, TP. Đà Lạt, Lâm Đồng, Việt Nam","Lâm Đồng, Việt Nam",34930.0,4466.0,Cây ăn quả | bưởi da xanh
dabe1a8a-6d2f-4488-80f4-91c696c00b1e,Cây công nghiệp,hạt điều nhân,20.593 đ/kg,1.818 kg,21.0346,105.8015,"Số 74 Nguyễn Huệ, Phường 1, Quận Cầu Giấy, Hà Nội, Việt Nam","Hà Nội, Việt Nam",20593.0,1818.0,Cây công nghiệp | hạt điều nhân
27cf2cfb-1052-42c7-bdd6-a7fb665b9c9e,Cây ăn quả,thanh long ruột đỏ,35.288 đ/kg,2.761 kg,13.9774,108.0004,"Số 166 Hoàng Diệu, Phường 15, TP. Pleiku, Gia Lai, Việt Nam","Gia Lai, Việt Nam",35288.0,2761.0,Cây ăn quả | thanh long ruột đỏ
2dccff51-0e04-4e20-bc81-52b086411ec2,Cây công nghiệp,mía nguyên liệu,54.609 đ/kg,2.753 kg,16.0879,108.1508,"Số 153 Nguyễn Huệ, Phường 8, Quận Liên Chiểu, Đà Nẵng, Việt Nam","Đà Nẵng, Việt Nam",54609.0,2753.0,Cây công nghiệp | mía nguyên liệu
e977c0af-74ea-464f-9cc1-866c6457c098,Rau củ,đậu cô ve,13.621 đ/kg,1.678 kg,12.2346,109.187,"Số 86 Điện Biên Phủ, Phường 3, TP. Nha Trang, Khánh Hòa, Việt Nam","Khánh Hòa, Việt Nam",13621.0,1678.0,Rau củ | đậu cô ve
0afe2fbd-cef1-49da-aa3a-2e6eb413a87f,Cây công nghiệp,hạt tiêu đen,57.482 đ/kg,2.251 kg,18.6679,105.6679,"Số 226 Lê Duẩn, Phường 5, TP. Vinh, Nghệ An, Việt Nam","Nghệ An, Việt Nam",57482.0,2251.0,Cây công nghiệp | hạt tiêu đen
bb3c5bb1-3aba-4934-9526-3a73f3283d71,Cây ăn quả,bưởi da xanh,54.042 đ/kg,1.195 kg,16.0702,108.2087,"Số 32 Hùng Vương, Phường 9, Quận Hải Châu, Đà Nẵng, Việt Nam","Đà Nẵng, Việt Nam",54042.0,1195.0,Cây ăn quả | bưởi da xanh
4f116c4b-6b74-404b-acc5-ccdcb32ff63d,Rau củ,rau cải xanh,8.175 đ/kg,1.137 kg,12.6576,108.052,"Số 56 Trần Hưng Đạo, Phường 8, TP. Buôn Ma Thuột, Đắk Lắk, Việt Nam","Đắk Lắk, Việt Nam",8175.0,1137.0,Rau củ | rau cải xanh
ba07cd34-503e-4a7b-a118-7c1bcb7b96c3,Rau củ,rau muống,36.197 đ/kg,414 kg,10.0497,105.7621,"Số 60 Phan Châu Trinh, Phường 9, Quận Ninh Kiều, Cần Thơ, Việt Nam","Cần Thơ, Việt Nam",36197.0,414.0,Rau củ | rau muống
377d70d5-6515-4542-80d7-84f95158bbe6,Rau củ,dưa leo,11.407 đ/kg,2.296 kg,16.4631,107.6025,"Số 63 Lê Lợi, Phường 9, TP. Huế, Thừa Thiên Huế, Việt Nam","Thừa Thiên Huế, Việt Nam",11407.0,2296.0,Rau củ | dưa leo
